PermitNum,PermitClass,WorkClass,Condominium,ProjectName,Description,TCAD_ID,PropertyLegalDescription,AppliedDate,IssuedDate,CalendarYearIssued,StatusCurrent,StatusDate,ExpiresDate,CompletedDate,TotalExistingBldgSQFT,TotalJobValuation,NumberOfFloors,HousingUnits,OriginalAddress1,OriginalZip,CouncilDistrict,Link,ProjectID,MasterPermitNum,Latitude,Longitude,Location,ContractorCompanyName,ContractorPhone
2016-045698 BP,R- 645 Demolition One Family Homes,Demolition,No,7431 ONION CREEK DR,Total demo of existing home  City of Austin buyout,430000302,LOT 35 BLK G YARRABEE BEND SEC 1 PRORATA 010116 TO 032216,4/20/2016,4/25/2016,2016,Expired,4/26/2018,4/25/2018,,"2,615","8,000.00",1,1,7431 ONION CREEK DR,78744,2,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=11520402,11520402,11519346,30.16909261,-97.75048614,"(30.16909261, -97.75048614)",Building Abatement Demolition Co Inc,5127786069
2012-064037 BP,R- 645 Demolition One Family Homes,Demolition,No,900 BLUEBONNET LN,Demolish a circa 1956 1 story 3331 square foot single family residence,104060308,LOT 2C RESUB OF LOT 12 SOUTH LUND PARK SEC 2,6/19/2012,6/28/2012,2012,Final,10/9/2012,10/9/2012,10/9/2012,"3,331","1,500.00",1,1,900 BLUEBONNET LN,78704,5,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=10788138,10788138,10784661,30.26066981,-97.76854768,"(30.26066981, -97.76854768)",TM Tree Trimming,5127310313
2014-067446 BP,R- 645 Demolition One Family Homes,Demolition,No,1114 E 8TH ST,Total demo of home  Circa 1935,205070311,LOT 7 BLK 3 OLT 23 DIV B ROBERTSON GEO L SUBD,3/8/2014,7/1/2014,2014,Expired,5/30/2018,5/29/2018,,590,"3,600.00",1,1,1114 E 8TH ST,78702,1,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=11172605,11172605,11102804,30.26608364,-97.72879502,"(30.26608364, -97.72879502)",,512
2014-097715 BP,R- 645 Demolition One Family Homes,Demolition,No,2906 EDGEWATER DR,Total demo of home  Circa 1964,137360102,LOT 11 CEBAR RANCH,9/3/2014,2/12/2015,2015,Final,5/6/2016,5/6/2016,5/6/2016,"1,277","20,000.00",1,1,2906 EDGEWATER DR,78733,10,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=11215126,11215126,11209542,30.35270104,-97.8625353,"(30.35270104, -97.8625353)",Mulligan Construction,5124620009
2015-108710 BP,R- 645 Demolition One Family Homes,Demolition,No,2617 WILLOW ST,total demo of home,200100507,LOT 7 BLK 5 OLT 4142 OLT 53 DIV O RIVERVIEW ADDN,8/31/2015,9/14/2015,2015,Expired,9/15/2017,9/14/2017,,877,"8,000.00",1,1,2617 WILLOW ST,78702,3,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=11412830,11412830,11408777,30.2525088,-97.71493992,"(30.2525088, -97.71493992)",,5125543647
2017-122363 BP,R- 645 Demolition One Family Homes,Demolition,No,1913 ROMERIA DR,total demo of house circa 1948,232040907,LOT 7 BLK D BURNET HEIGHTS,9/18/2017,9/28/2017,2017,Active,4/25/2018,10/22/2018,,"1,115","5,000.00",1,1,1913 ROMERIA DR,78757,7,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=11798080,11798080,11791878,30.33600639,-97.73696177,"(30.33600639, -97.73696177)",DAR Construction,5124534646
2017-126522 BP,R- 645 Demolition One Family Homes,Demolition,No,2600 ADDISON AVE,total demo of house circa 1955,234030508,SE85FT OF LOT 31   ALL OF LOT 3233 BLK 9 GREEN ACRES,9/29/2017,10/9/2017,2017,Final,4/25/2018,4/25/2018,4/25/2018,"1,970","4,500.00",1,1,2600 ADDISON AVE,78757,7,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=11802955,11802955,11799186,30.34499634,-97.74058532,"(30.34499634, -97.74058532)",DAR Construction,5124534646
2017-146923 BP,R- 645 Demolition One Family Homes,Demolition,No,2404 WESTLAKE DR,total demo sf res circa 1960,121090302,LOT 32  E 90 FT OF LOT 3334  PT ADJ E PT LAKE SHORE ADDN  ABS 21 SUR 1 41AC SPARKS W,11/1/2017,11/22/2017,2017,Active,4/25/2018,10/22/2018,,"4,632","62,000.00",2,1,2404 WESTLAKE DR,78746,10,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=11827071,11827071,11817136,30.30557413,-97.78342481,"(30.30557413, -97.78342481)",Southwest Destructors****MAIN***,5129179511
2017-146924 BP,R- 645 Demolition One Family Homes,Demolition,No,2404 WESTLAKE DR,total demo of sf res circa 1960,121090302,LOT 32  E 90 FT OF LOT 3334  PT ADJ E PT LAKE SHORE ADDN  ABS 21 SUR 1 41AC SPARKS W,11/1/2017,11/22/2017,2017,Active,4/25/2018,10/22/2018,,"1,525","62,000.00",1,1,2404 WESTLAKE DR,78746,10,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=11827072,11827072,11817136,30.30557413,-97.78342481,"(30.30557413, -97.78342481)",Southwest Destructors****MAIN***,5129179511
2018-063767 BP,R- 645 Demolition One Family Homes,Demolition,No,11509 JANUARY DR,total demo of sf res circa 1971,247261410,LOT 10 BLK D FOUR SEASONS SPRING SEC,3/23/2018,4/25/2018,2018,Active,4/25/2018,4/25/2020,,"2,800","5,000.00",1,1,11509 JANUARY DR,78753,1,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=11919068,11919068,11913324,30.37733827,-97.66602697,"(30.37733827, -97.66602697)",Uncle Gus Handyman Services,5127655349
2008-031529 BP,R- 645 Demolition One Family Homes,Demolition,No,7203 FIREFLY DR,Demolish a circa 1979 1071 square foot 1story single family residence,329001015,LOT 21 BLK J YARRABEE BEND SEC 3,4/25/2008,4/28/2008,2008,Expired,10/26/2008,10/25/2008,,"1,071","4,500.00",1,1,7203 FIREFLY DR,78744,2,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=10141996,10141996,10140980,30.17047174,-97.74591654,"(30.17047174, -97.74591654)",AAR Inc.,5127786800
2008-045214 BP,R- 645 Demolition One Family Homes,Demolition,No,6901 S PLEASANT VALLEY RD,Demolish a single wide trailer 1 story 980 square foot Clearing entire lot,328010101,LOT 1 BLK H ONION CREEK FOREST SEC 2 AMENDED,6/11/2008,6/16/2008,2008,Expired,12/14/2008,12/13/2008,,980,"3,000.00",1,1,6901 S PLEASANT VALLEY RD,78744,2,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=10159129,10159129,10159019,30.17577042,-97.74939916,"(30.17577042, -97.74939916)",AAR Inc.,5127786800
2008-045221 BP,R- 645 Demolition One Family Homes,Demolition,No,7103 FIREFLY DR,Demolish a circa 1980 2 story 1122 square foot single family residence Clearing entire lot,329001031,LOT 18 BLK J YARRABEE BEND SEC 4,6/11/2008,6/16/2008,2008,Expired,12/14/2008,12/13/2008,,"1,122","5,000.00",1,1,7103 FIREFLY DR,78744,2,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=10159136,10159136,10158996,30.17010109,-97.7455403,"(30.17010109, -97.7455403)",AAR Inc.,5127786800
2008-063375 BP,R- 645 Demolition One Family Homes,Demolition,No,6907 SHADY CEDAR DR,Demolish a circa 1979 1 story mobile home of 756 square feet Clearing entire lot,329000508,LOT 14 BLK D ONION CREEK FOREST SEC 2 AMENDED,8/1/2008,8/13/2008,2008,Expired,2/10/2009,2/9/2009,,"1,100","4,200.00",1,1,6907 SHADY CEDAR DR,78744,2,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=10181358,10181358,10178266,30.17404936,-97.7479321,"(30.17404936, -97.7479321)",AAR Inc.,5127786800
2008-094639 BP,R- 645 Demolition One Family Homes,Demolition,No,102 E RUNDBERG LN,Demolish a ca 1945 SF garage,240170206,ABS 29 SUR 58 APPLEGATE J ACR 10027,12/5/2008,12/10/2008,2008,Final,8/31/2012,8/31/2012,8/31/2012,0,"5,000.00",1,1,102 E RUNDBERG LN,78753,4,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=10218487,10218487,10218032,30.36101189,-97.69314227,"(30.36101189, -97.69314227)",AAR Inc.,5127786800
2008-094641 BP,R- 645 Demolition One Family Homes,Demolition,No,2611 E 5TH ST,Demolish a collapsed SF residence,202110906,LOT 2425 OLT 12 DIV O PACE D C ADDN,12/5/2008,12/10/2008,2008,VOID,1/8/2015,6/8/2009,,0,"5,000.00",1,1,2611 E 5TH ST,78702,3,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=10218489,10218489,10218027,30.25704809,-97.7131155,"(30.25704809, -97.7131155)",AAR Inc.,5127786800
2008-094644 BP,R- 645 Demolition One Family Homes,Demolition,No,2415 E 10TH ST,Demolish a ca 1948 SF residence,205100808,LOT 8 BLK 14 GRANDVIEW PLACE,12/5/2008,12/10/2008,2008,Expired,6/9/2009,6/8/2009,,0,"5,000.00",1,1,2415 E 10TH ST,78702,1,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=10218492,10218492,10218061,30.26535101,-97.71511441,"(30.26535101, -97.71511441)",AAR Inc.,5127786800
2009-000155 BP,R- 645 Demolition One Family Homes,Demolition,No,2507 HOEKE LN,Demolish a dilapidated structure as part of the City of Austin's Carson Creek flood plain buyout program 2 story 1342 square foot per Travis CAD,314200137,ABS 24 DELVALLE S ACR 268,1/2/2009,1/6/2009,2009,Expired,7/6/2009,7/5/2009,,"1,342","2,000.00",2,1,2507 HOEKE LN,78744,2,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=10224300,10224300,10224297,30.21403445,-97.68831786,"(30.21403445, -97.68831786)",AAR Inc.,5127786800
2009-022120 BP,R- 645 Demolition One Family Homes,Demolition,No,4116 E 12TH ST,Demolish a circa 1963 1 story 864 square foot single family residence per Building and Standards Commission order,210180533,LOT 3 OLT 1812 DIV B FLOURNOY M H SUBD NO 2,3/23/2009,3/25/2009,2009,Final,5/6/2009,5/6/2009,5/6/2009,864,0,1,1,4116 E 12TH ST,78721,1,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=10249784,10249784,10249193,30.27899825,-97.68832823,"(30.27899825, -97.68832823)",AAR Inc.,5127786800
2009-022136 BP,R- 645 Demolition One Family Homes,Demolition,No,1210 HARRISON LN,Demolish a circa 1970 1 story 1262 square foot single family residence a 2 detached sheds  Clearing entire lot,310260201,LOT 9A RESUB OF LTS 911 RICHLAND ESTATES SEC 1,3/24/2009,3/25/2009,2009,Expired,11/2/2009,11/1/2009,,"1,262",500,1,1,1210 HARRISON LN,78617,2,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=10249803,10249803,10249669,30.22641713,-97.67307392,"(30.22641713, -97.67307392)",AAR Inc.,5127786800
2009-079578 BP,R- 645 Demolition One Family Homes,Demolition,No,805 PATTON AVE,Demolish a circa 1957 1 story single family residence Slab to remain,307200323,LOT 10 BLK 2 BERGSTROM DOWNS NO 1,7/17/2009,7/21/2009,2009,VOID,10/25/2012,1/17/2010,,"1,368",0,1,1,805 PATTON AVE,78742,3,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=10313756,10313756,10313312,30.23247744,-97.68095851,"(30.23247744, -97.68095851)",AAR Inc.,5127786800
2009-090444 BP,R- 645 Demolition One Family Homes,Demolition,No,2500 HIDALGO ST,Demolish a circa 1953 1 story 1351 square foot single family residence per BSC order,203110328,LOT 71 OLT 22 DIV A SIMMS PAUL O,8/17/2009,8/17/2009,2009,Final,10/26/2009,10/26/2009,10/26/2009,"1,351","4,800.00",1,1,2500 HIDALGO ST,78702,3,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=10326431,10326431,10326280,30.25986155,-97.71404983,"(30.25986155, -97.71404983)",AAR Inc.,5127786800
2009-104007 BP,R- 645 Demolition One Family Homes,Demolition,No,813 PATTON AVE,Demolish a circa 1956 1 story 1436 square foot single family residence,307200319,LOT 6 BLK 2 BERGSTROM DOWNS NO 1,9/16/2009,9/16/2009,2009,Expired,3/16/2010,3/15/2010,,"1,436","4,800.00",1,1,813 PATTON AVE,78742,3,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=10341298,10341298,10341266,30.23202305,-97.68146193,"(30.23202305, -97.68146193)",AAR Inc.,5127786800
2010-030580 BP,R- 645 Demolition One Family Homes,Demolition,No,1131 1/2 POQUITO ST,Demolish a single family residence and small 8x10 storage shed See 2012065960,206101401,,4/2/2010,4/13/2010,2010,VOID,7/2/2012,10/10/2010,,"1,352",0,1,1,1131 1/2 POQUITO ST,78702,1,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=10425240,10425240,10420892,30.26760447,-97.71691006,"(30.26760447, -97.71691006)",AAR Inc.,5127786800
2010-050854 BP,R- 645 Demolition One Family Homes,Demolition,No,7901 POSTEN LN,Demolish a circa 1956 1 story 1312 square foot single family residence,314200144,,6/11/2010,6/21/2010,2010,Expired,12/29/2010,12/28/2010,,"1,312","4,500.00",1,1,7901 POSTEN LN,78744,,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=10451323,10451323,10451296,30.21398538,-97.68740717,"(30.21398538, -97.68740717)",AAR Inc.,5127786800
2010-079224 BP,R- 645 Demolition One Family Homes,Demolition,No,1217 HARRISON LN,Demolish a circa 1963 1 story 1621 square foot single family residence,310260305,LOT 25 RICHLAND ESTATES SEC 1,9/14/2010,9/14/2010,2010,Final,10/21/2010,10/21/2010,10/21/2010,"1,621",0,1,1,1217 HARRISON LN,78742,2,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=10489964,10489964,10489939,30.22573707,-97.67317183,"(30.22573707, -97.67317183)",AAR Inc.,5127786800
2010-079228 BP,R- 645 Demolition One Family Homes,Demolition,No,1103 ELEANOR ST,Demolish a residence moved onto lot 1973  1 story  1542 square foot,208210631,LOT 11 BLK 3 GREEN VALLEY NO 1,9/14/2010,9/14/2010,2010,Final,10/20/2010,10/20/2010,10/20/2010,"1,542",0,1,1,1103 ELEANOR ST,78721,1,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=10489968,10489968,10489947,30.27061352,-97.6801357,"(30.27061352, -97.6801357)",AAR Inc.,5127786800
2015-040638 BP,R- 645 Demolition One Family Homes,Demolition,No,1000 S 2ND ST,Total demo of home  Circa 1940,102010503,LOT 1 BLK 3 OAK CLIFF ADDN,3/4/2015,6/2/2015,2015,Active,5/11/2018,11/7/2018,,"1,600","7,000.00",1,1,1000 S 2ND ST,78704,9,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=11327182,11327182,11305492,30.25432085,-97.75396584,"(30.25432085, -97.75396584)","Heart of Texas Demolition, LLC",5129091533
2014-037504 BP,R- 645 Demolition One Family Homes,Demolition,No,7209 S PLEASANT VALLEY RD,Total demo of home,328010724,,4/10/2014,4/17/2014,2014,Expired,9/21/2015,9/20/2015,,"1,600","7,500.00",1,1,7209 S PLEASANT VALLEY RD,78744,2,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=11121842,11121842,11120676,30.17242887,-97.7517201,"(30.17242887, -97.7517201)",AAR Inc.,5127786800
2014-037510 BP,R- 645 Demolition One Family Homes,Demolition,No,6114 ORLEANS DR,Total demo of home,330030508,LOT 22 BLK B ONION CREEK PLANTATIONS SEC 1,4/10/2014,4/17/2014,2014,Expired,8/10/2015,8/8/2015,,"1,600","7,500.00",1,1,6114 ORLEANS DR,78744,2,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=11121848,11121848,11120681,30.16953252,-97.74082025,"(30.16953252, -97.74082025)",AAR Inc.,5127786800
2014-052273 BP,R- 645 Demolition One Family Homes,Demolition,No,6109 ORLEANS DR,Total demo of home,330030323,LOT 5 BLK C ONION CREEK PLANTATIONS SEC 1,5/15/2014,5/20/2014,2014,Expired,5/21/2016,5/20/2016,,"1,600","7,500.00",1,1,6109 ORLEANS DR,78744,2,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=11151542,11151542,11147834,30.16931163,-97.74159217,"(30.16931163, -97.74159217)",AAR Inc.,5127786800
2014-052288 BP,R- 645 Demolition One Family Homes,Demolition,No,7301 S PLEASANT VALLEY RD,Total demo of home,328010723,,5/15/2014,10/21/2014,2014,Expired,10/22/2016,10/21/2016,,"1,600","7,500.00",1,1,7301 S PLEASANT VALLEY RD,78744,2,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=11151565,11151565,11147839,30.1722881,-97.75183149,"(30.1722881, -97.75183149)",AAR Inc.,5127786800
2014-067731 BP,R- 645 Demolition One Family Homes,Demolition,No,7305 ONION CROSSING DR,Total demo of home,328010819,LOT 15 BLK O ONION CREEK FOREST SEC 4,6/24/2014,6/27/2014,2014,Expired,6/28/2016,6/27/2016,,"1,600","7,500.00",1,1,7305 ONION CROSSING DR,78744,2,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=11172958,11172958,11171218,30.17166587,-97.75125302,"(30.17166587, -97.75125302)",AAR Inc.,5127786800
2014-067749 BP,R- 645 Demolition One Family Homes,Demolition,No,7119 DIXIE DR,Total demo of home,330030520,LOT 7 BLK B ONION CREEK PLANTATIONS SEC 1,6/24/2014,6/27/2014,2014,Expired,6/28/2016,6/27/2016,,"1,600","7,500.00",1,1,7119 DIXIE DR,78744,2,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=11172983,11172983,11171270,30.16991723,-97.7408036,"(30.16991723, -97.7408036)",AAR Inc.,5127786800
2014-067771 BP,R- 645 Demolition One Family Homes,Demolition,No,6115 ORLEANS DR,Total demo of home,330030326,LOT 8 BLK C ONION CREEK PLANTATIONS SEC 1,6/24/2014,6/27/2014,2014,Expired,6/28/2016,6/27/2016,,"1,600","7,500.00",1,1,6115 ORLEANS DR,78744,2,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=11173009,11173009,11171285,30.16915109,-97.74113435,"(30.16915109, -97.74113435)",AAR Inc.,5127786800
2014-100436 BP,R- 645 Demolition One Family Homes,Demolition,No,7200 LADYBUG ST,Total demo of home,329000701,LOT 2 BLK D YARRABEE BEND SEC 1,9/18/2014,9/26/2014,2014,Expired,9/27/2016,9/26/2016,,"1,600","7,500.00",1,1,7200 LADYBUG ST,78744,2,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=11219830,11219830,11219691,30.17209838,-97.74938023,"(30.17209838, -97.74938023)",AAR Inc.,5127786800
2014-110792 BP,R- 645 Demolition One Family Homes,Demolition,No,7204 WILD ONION DR,Total demo of sf res,328010809,LOT 6 BLK O ONION CREEK FOREST SEC 4,10/14/2014,10/16/2014,2014,Expired,10/17/2016,10/16/2016,,"1,600","7,500.00",1,1,7204 WILD ONION DR,78744,2,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=11233834,11233834,11233730,30.17226137,-97.7503698,"(30.17226137, -97.7503698)",AAR Inc.,5127786800
2014-113163 BP,R- 645 Demolition One Family Homes,Demolition,No,7304 LADYBUG ST,Total demo of home,329000708,LOT 9 BLK D YARRABEE BEND SEC 1,4/24/2014,10/21/2014,2014,Expired,10/22/2016,10/21/2016,,"1,600","7,500.00",1,1,7304 LADYBUG ST,78744,2,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=11236585,11236585,11129145,30.17123427,-97.7500364,"(30.17123427, -97.7500364)",AAR Inc.,5127786800
2014-118783 BP,R- 645 Demolition One Family Homes,Demolition,No,6912 ONION CROSSING DR,Total demo of home  ONION CREEK buyout,328010108,LOT 8 BLK H ONION CREEK FOREST SEC 2 AMENDED S970683735,11/4/2014,11/6/2014,2014,Expired,11/7/2016,11/6/2016,,"1,600","7,500.00",1,1,6912 ONION CROSSING DR,78744,2,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=11245714,11245714,11245671,30.17419559,-97.7501345,"(30.17419559, -97.7501345)",AAR Inc.,5127786800
2017-065503 BP,R- 645 Demolition One Family Homes,Demolition,No,4501 SPANISH OAK TER,Total demolition of existing SFR built circa 1959,129050309,LOT 7 BLK B BALCONES PARK NO 1,5/24/2017,6/2/2017,2017,Final,9/14/2017,9/14/2017,9/14/2017,"2,462","6,000.00",2,1,4501 SPANISH OAK TER,78731,10,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=11731181,11731181,11728373,30.32669156,-97.76800693,"(30.32669156, -97.76800693)",MACI Homes,5126333952
2015-059373 BP,R- 645 Demolition One Family Homes,Demolition,No,6202 ORLEANS DR,Total demo of home,330030506,LOT 24 BLK B ONION CREEK PLANTATIONS SEC 1 PRORATE 010115 TO 021315,5/19/2015,5/20/2015,2015,Expired,5/21/2017,5/20/2017,,"1,600","7,500.00",1,1,6202 ORLEANS DR,78744,2,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=11354119,11354119,11354112,30.16942428,-97.74050029,"(30.16942428, -97.74050029)",AAR Inc.,5127786800
