CalendarYearIssued,Description
2018,Partial Demo of existing covered back porch  laundry roommudkitchen cabinets and finishes Remodel to install new windows  doors  Family Rm replace interior doors new front door replacement windows  all windows removal of wall  LaundryMud new door from Garage to Laundry Rm new Powder plumbing fixtures remodel kitchen remove wall  kitchen make half wall new ceiling  kitchen remodel all bathrooms Addition of a Playroom and Covered Patio in rear of existing 1 story SF res
2018,PARTIAL DEMO Addition remodel Conversion of existing rear covered patio into conditioned habitable space addition to laundry room interior remodel including bathrooms
2018,Partial demo Removing existing uncovered wood deck Removing bay window Other interior changes  Full remodel only
2018,Partial demo Second story addition and remodel of existing 1story SFR in MM
2018,Partial demo Addition to existing  noncomplying single family residential to include master bedroom and master bath
2018,Partial demo Converting workshop into bedroom
2018,Partial demo  Interior remodel  Change windows adding sliding glass door repair deck
2018,PARTIAL DEMO Addition remodel Interior remodel of entire home except master suite Addition to foyer dining room and living room New front porch Patching windows on detached accessory structure
2018,Partial demo Addition remodel Second story addition to existing single story single family residence Interior remodel of first floor
2018,Partial Demo 1story 24 sf conversion of rear patio to conditioned space to become kitchendining room extension 1story 270 sf garage addition to existing attached garage Existing 4 bed 3 bath to become 5 bed 45 bath Remodel 1st and 2nd floors relocate kitchen fixtures relocate tub in master bathroom into existing laundry room master bedroom to absorb existing sunroom new stair position leading to 2nd floor laundry to move to existing mud room
2018,Partial Demo Removing balcony at master bedroom new windows new exterior doors new composite shingle roof new exterior stucco and reframing of existing covered entry to reduce volume changing from a 2story to a 1story covered entry Interior remodel renovations to master bedroom master bathroom kitchen utility room laundry room family room existing porch and existing bathrooms
2018,PARTIAL DEMO Addition remodel Addition at rear of house including new utility room and loggia with outdoor kitchen First and second floor porch conversions into living space at front of house
2018,Partial DemoAddition of 2nd story to existing residence and addition of covered porch
2018,PARTIAL DEMO remodel lower level workshop in conditioned space Remodel upper level into guest suite Add entry alcove in garage
2018,PARTIAL DEMO Removal and replacement of uncovered raised wood deck at rear of residenceREVISION  I Includes wall reconfiguration for kitchen improvement and replacement of tubs and plumbing fixtures on two bathrooms Upgrade include electrical and plumbing work
2018,Partial Demo of Laundry Room south and west walls Addition of a Covered Wood Deck in front and Convert existing Carport into a Master Bathroom Master Walkin Closet and Master Bedroom
2018,Partial demo  Interior Remodel  Kitchen breakfast area and adjoining hallway
2018,Partial Demolition 1story 254sf addition to rear of existing 2story SFR Removing existing attached storagecovered patio with water heater Interior remodel 1684sf of existing floor area Nonstructural exploratory work inspections under BP 2018013490 to be rolledin to the inspections for this project
2018,Partial demo  Interior remodel of guest house  1st floor bath laundry living and storage space of guest house
2018,PARTIAL DEMO Addition remodel New master suite 1 bed 1 bath in rear of house Remodel existing utility room
2018,Partial Demo of a 1965 SFR Interior exterior remodel include wall reconfiguration for overall improvements plus doors windows replacements Exterior work includes structural roof reconfiguration at front facade Trade Upgrades include electrical plumbing and mechanical work
2018,Partial Demo new 2 story addition of 1 bed1bath storage room and wood deck Reasonable accommodation to allow for 45 IC Kitchen upper cabinets replaced and new window next to stove
2018,Partial demo with interior remodel  Relocate shower new cabinets and fixtures  New windows  Vaulted ceilings  Replace sheetrock as needed
2018,partial demo Addition of second floor removal of fireplace and interior remodel of first floor master bath and kitchen
2018,Partial demo Adding two story second living unit to existing SFR to create duplex
2018,PARTIAL DEMO Addition remodel New bedroom bathroom bonus room covered porch and carport
2018,Partial demo 2story addition to existing 1story SFR in MM 4 bed3 bath
2018,PARTIAL DEMO Addition remodel First floor interior remodel New second story with master suite office additional bedroom and hall bathroom
2018,Partial Demo Remodel to remove interior walls and adding beams create partition walls for new closet Master Bedrm  Utility Rm Addition of a New Master Bedroom Master Bathroom and Covered Patio in rear of existing 1 story SF res
2018,Partial demo to remove existing 1st FL window to enlarge remove portion of 2nd story rear wall for new door Addition of an attached 1 story Covered Patio w 2nd FL Pergola above in rear of existing 2 story SF res
2018,Partial Demo of rear wall of existing home Addition to dining room of a small Uncovered Wood Deck at rear entrance and addition of a Master Bedroom Master Bathroom and Laundry Room to rear of existing 1 story SF res
2018,Partial Demo to remove majority of NW exterior facade rear Remodel to enlarge existing Bedroom 3 Addition to add new Living Room wexterior door add new full Bathroom to Bedroom 3 addition of new rear Uncovered Wood Deck 70 sq ft  50 and Covered Wood Deck 174 sq ft to existing 1 story SF res
2018,Partial demo Addition remodel Enclosure of a portion of the front porch Addition in rear of residence including expanded master bedroom and kitchen New laundry room Interior remodel including one new bathroom and removal of another
2018,Partial demolition of carport new 2car garage  additionremodel of interior space
2018,Partial demo 1story 3961 sf addition to  rear of existing 1story SFR Master bathroom addition is a conversion of approx 222 sf of rear screened patio Existing kitchen to be replaced extending 517 sf into existing attached garage Interior remodel to kitchen remove interior walls new structural beam in attic new exterior door
2018,PARTIAL DEMO Addition remodel Addition of bedrooms bathrooms stairs and covered porch Interior remodel
2018,Partial demo of a 1998 SFR Interior remodel includes small shower wall reconfiguration widening rear window in bathroom upgrades include electrical and plumbing work
2018,Partial demo int remodel  comprehensive remodel
2018,Partial Demo 1story435sf addition to rear of existing SFR Remodel interior kitchen to move to existing living room existing dining room to become bedroomLB 1161
2018,PARTIAL DEMO Addition of one bedroom on the second floor of existing duplex
2018,Partial Demo of interior walls and storage roof Remodel to Laundry Rm Master Closet Water Heater Closet Hallway Closets removing kitchen wall adding windows and vaulted ceiling at living room replacing ext siding new drywall new electric plumbing and AC Addition of a New Master Bedroom and Master Bathroom
2018,Addition Remodel with partial demo
2018,Partial demo Remodeling existing enclosed porch to open up porch Complete interior remodel adding full bath Addition of rear uncovered wood deck
2018,Partial demo Interior remodel and addition of wood landing wood deck
2018,Partial Demo Removing existing attached screenedin patio at rear of existing SFR New 288 sf screened patio and landing with steps in location of previous patio at rear of residence
2018,Partial demo Addition to existing single SFR to include 2nd floor master suite above existing attached garage
2018,Partial Demo of 28 ft of deck stairs will be demolished as they are in the setback and were built without a permit  Addition of an attached Uncovered Wood Deck 812 sq ft in rear of existing 2 story SF res
2018,Partial Demo of a 1980 SFR Interior remodel include bathroom and kitchen improvements with wall reconfiguration and window replacements upgrades includes electrical and plumbing work
2018,PARTIAL DEMO Addition to existing covered porch on the front of single family residence
2018,PARTIAL DEMO Remove and replace rotten beam and posts on existing carport wood deck
2018,Partial demo interior remodel  Windows and doors to French doors
2018,Partial Demo of a 1961 SFR Interior remodel include wall reconfiguration for master bedroom master bath master closet and pantry  improvements plus doors and windows  replacements Upgrades include electrical plumbing and mechanical work
2018,Partial Demo of a SFR to add a clerestory window on  existing home office
2018,partial Demo Addition to existing duplex to create 2nd story Addition to include Unit A 2 bedroom 2 bath and utility room Unit B 2 bedroom 2 bath and utility room Interior remodel on first floor New attached 1car carport for Unit B New attached 2car garage for Unit A
2018,Partial demo Adding a sunroom to rear of existing 2story SFR PUD
2018,PARTIAL DEMO Interior Remodel and deck ADDITION
2018,Partial demo 491 sf master bedroom and bath addition to existing 1story SFR New 90 sf uncovered wood deck Install new windows
2018,Partial demo Addition of a covered patio to rear of SFR Demoing existing wood deck
2018,Partial demo Interior Remodel and partial garage conversion Converting storage area into office Adding windows in living room Removing walls between living room dining room and kitchen
2018,Partial demo Interior remodel Replacing some exterior windows and doors
2018,PARTIAL DEMO 3 bedroom addition and interior remodel of existing manufactured home
2018,Partial demo Addition and remodel of existing 1story SFR in MM New bedroom bathroom closet and laundry room
2018,Partial demo  Interior remodel enlargement of two windows wall for beam
2018,Partial Demo to remove portion of roof above garage to accommodate 2nd story addition Remodel to provide paint and flooring through existing residence Addition to include a Master Bedroom Master Bathroom and Master Walkin Closet Previously unpermitted garage conversion included in interior remodel
2018,Partial Demo of a SFR for Fire Damage Repair Includes overall drywall replacement roofing and siding repair Upgrades include electrical plumbing and mechanical work  Scope of repair does not include wall layout reconfiguration and no square footage shall be added
2018,Partial demo Fire damage repair
2018,Partial Demo of 4 interior walls Complete Remodel to existing home to remove int wall between kitchen  living room reposition  enlarge kitchen remove wall between kitchen living rm  dining rm HVAC will be relocated to attic  Master Bedrm closet will be enlarged south wall will be removed and framed in new slider doors will replace existing double doors entry door will be relocated further into hallway Master Bathrm will be enlarged complete remodel to master bath Breakfast area will be downsized new slider exterior door will replace single existing door and window Utility Rm will have door relocated from the Dining Rm to eating area near slider door Hot water Tank will be replaced with tankless system Washer and Dryer will be relocated to north wall of utility rm Living Rm will have a new electric fireplace in built out wall front door will be relocated to center of front wall replace existing windows  Main Electrical Panel will be replaced new electrical new plumbing new Insulation and Sheetrock throughout existing 1 story SF res
2018,Partial Demo of North wall East wall roof  portion of South wall Remodel to replace windows doors sheetrock foundation siding remove and reframe new roof change interior walls Addition of a Living Rm Bedroom Closet Front Covered Porch and Carport  Uncovered Wood Deck to existing 1 story SF Cottage Residence
2018,Partial demo Addition and remodel of existing 2story SFR in MM
2018,Partial demo Interior remodel
2018,Partial demo Addition to rear of existing single family residential to include dining room family room 1 bedroom 1 full bath wood deck and 2nd floor storageloft area
2018,Partial Demo of a 1963 SFR to address unpermitted Garage Conversion into an open studio Current Interior remodel work includes Wall reconfiguration for master bedroom master bath and removing bedroom1 to enlarge master closet upgrades include electrical and plumbing work
2018,Partial demo Addition and change of use from existing accessory structure to SDU with covered patio front uncovered patio in the back 1 bed1 bath
2018,Partial demo Addition to existing SFR to include an office Addition of a dormer to existing attached garage to create attic storage
2018,Partial demo Interior remodel Wall reconfigurations  MEP upgrades
2018,PARTIAL DEMO Interior remodel of existing 2 story single family residence
2018,partial Demo first floor  remodel and kitchen expansion and 2nd floor addition
2018,Partial Demo of Northern Facing exterior wall and north half of roof rear facing kitchen dining rm  existing master bath walls rear facing water heater closet door  wall Remodel to convert garage storage area into LaundryPantry Rm Convert water heater closet into addtl kitchen space turn washer space into addtl Living Rm space raise ceilings in Living Rm Dining Rm  Kitchen remove door to current Master Bedrm to create Hallway increase size of existing Master Bedrm east facing Window existing Master Bedrm will now become Bedrm 1 most of existing Kitchen will become Laundry RmPantry move Water Heater and replace with Tankless ondemand unit  Addition of a new Master Bedroom Master Bathroom and extend existing Master Bathroom to existing 1 story SF res
2018,Partial Demo of a 1980 SFR Interior remodel includes Window replacement wall reconfiguration for master bath and master closet improvements upgrades include electrical and plumbing work
2018,PARIAL DEMO 2nd floor addition to existing SFR and interior remodel in mm new patio4 BED35 BATH
2018,Partial demo  Interior remodel  Repair exterior walls and roof in existing storage area behind garage where large tree fell  Move existing master bathroom  Create large walkin closet
2018,Partial demo  Install  new windows and doors  Interior remodel with wall reconfigurations  Engineered plans provided  MEP upgrades
2018,Partial demo Interior Remodel Replacing any studs as needed replace drywall as needed replace siding New windows minor reframing and new doors Replacing roof new electrical new plumbing Remove and replace exterior stairs New second story balcony
2018,Partial Demo addition to SF two story house with additional porch and bigger kitchen
2018,Partial Demo Remove existing storage room at rear of existing SFR with new attached 162 sf covered patio Tying into existing concrete slab
2018,Partial demo Addition remodel to existing 1story SFR in MM Expand living room and bedroom remove fireplace create new laundry room interior remodel
2018,Addition Remodel with partial demo
2018,Partial demo Interior remodel include improvement to master bedroom bathroom walkin closet and adding sliding door upgrades include electrical and plumbing work
2018,PARTIAL DEMO Addition remodel New 3 car attached garage with second story playroom and bathroom Addition to master bathroom master closet and front porch Interior remodel including new bedroom and conversion of existing bedroom to mudroom
2018,PARTIAL DEMO  Adding new restroom enlarging a bedroom relocate kitchen and replace windows
2018,Partial Demo of interior nonload bearing wall Interior Remodel to replace counter tops replace toilet and fixtures remove nonloadbearing wall in Game Room cover screenedin porch Addition to convert existing wood deck into a Dog Room of existing 1 story SF res
2018,Partial demo  Interior remodel Comprehensive remodel
2018,Partial demo int remodel  Upstairsdownstairs  Comprehensive  Kitchenbar  Bath  Walls for beams
2018,Partial Demo Screened porch addition to existing 1story SFR 151 sf addition to rear of SFR to include new bathroom Interior remodel to existing bathroom to remain remove other existing bathroom to kitchen to living room and to bedrooms Access to back yard from paved alley created for parking
2018,Partial demo Addition remodel to existing 1story SFR in MM New den expanded bathroom new outdoor living space extensive interior remodel
2018,Partial Demo for Interior remodel The work includes wall reconfiguration Master suite Media Room and kitchen improvements and windows and doors replacement upgrades include electrical plumbing and mechanical work
2018,partial demo removing existing uncovered deck and screened in porch and putting in new uncovered wood deck and screened porch
2018,Partial Demo to remove several interior partitions and several exterior walls Remodel to remove interior wall between Living Rm  Dining Rm to enlarge Addition to existing Master Bathroom add to existing Living Room add to existing 2car Garage to expand to rear of existing 1 story SF res
2018,Partial demo Interior remodel adding two new windows
2018,Partial demo remodel of existing 1story SFR  reconfigure floor plan change windows and doors renovate kitchen bath and create utility closet Redo ceilings Roof line adjusted
2018,Partial demo Removing interior walls to create open floorplan Resizing windows to be larger than originals
2018,Partial demo 1story addition at living room and 1story addition replacing existing carport of existing 1story SFR Secondary unit described on application not included in the approved scope of work for this permit
2018,Partial demo Addition to existing 1story SFR Converting uncovered courtyard into livable sq ft
2018,Partial Demo  Interior remodel  Creating a bath and extra bedroom  Windowwall changes
2018,Partial Demo Addition 2 story addition to existing 1 story home Addition includes a master suite dining room office mudroom and 2 full bathrooms
2018,Partial demo 2 story addition and remodel of existing SFR total 3 bed15 bath
2018,Partial Demo of  a 2story SFR Interior remodel includes walls reconfigurations on 1st and 2nd story to convert bedroom into WIC and relocated bathroom and a master bedroom lounge into a WIC relocate powder room and pantry and reconfigure stairway Upgrades include electrical plumbing and mechanical work
2018,PARTIAL DEMO Addition remodel New master suite mud room and covered deck Addition to front porch Interior remodel
2018,Coverting covered patio to living space no partial demo
2018,1story addition of master bedroom and master bathroom and rear covered patio to existing SFR 2 bedroom 2 bathroom upon completion Partial Demo
2018,Partial Demo 1story 533 sf addition to existing 1story 3 bed 3 bath SFR Increase to size of master bedroom create new master bathroom Relocate kitchen and fixtures Remove existing carport to create added living space 4 bathrooms upon completion
2018,Partial demo remove existing roof remove interior and exterior walls remove siding remove rear elevation wall frame Remodel to replace existing roof replace siding replace electrical wiring  new fixtures replace plumbing  new fixtures add HVAC relocate  install new water heater move interior walls replace sheetrock replace  add insulation Addition of an attached 1car Garage Bath 1 Laundry Rm Kitchen Breakfast Nook Living Rm 2 Bedrm 3  Bathrm 2 to existing NonComplying 1 story SF res
2018,Partial demo interior remodel and deck addition in MM
2018,Partial Demo to remove portion of rear portion of house at pantry to allow for new construction Addition of a Master Closet Master Bathroom Master Bedroom Uncovered Wood Deck 20 sq ft and Covered Wood Deck 84 sq ft in rear of existing 1 story SF res
2018,Partial Demo 1story 688sqft addition to existing SFR 14sqft porch addition Existing SFR is a noncompliant structure due to current sideyard setback requirements
2018,PARTIAL DEMO Addition to master bedroom Replacing all siding and windows on residence
2018,Partial Demo to roof of garage north side of garage wall walls at rear entry  portion of front porch wall for window Remodel of conversion of interior double height entry into 1st floor entry and 2nd floor bedroom Addition of Master Suite over Garage
2018,Partial Demo to remove existing back patio exterior garage wall for small addition interior walls Remodel to expand garage storage by decreasing size of kitchen by 25 sf ft expand kitchen remove int wall between kitchen  dining rm to enlarge kitchen convert existing bedrm 4 into an office expand master suite by coverting bedrm 2 into Master Bathrm convert Master Closet 1 into new Half Bathrm Convert half of Formal Dining Rm into an Office remove water heater closet vault ceilings in Living RmDining RmKitchenOfficeMaster Bedrm  Master Bath areas remove Hall 2 Storage closet new windows Addition of a small Garage extension new rear Uncovered Wood Deck to existing 1 story SF res
2018,Partial demo Addition remodel Addition to first floor and new second floor including 2 new bedrooms 2 new bathrooms and a front porch Interior remodel
2018,PARTIAL DEMO  Addition to existing SFR under existing roof along with other interior remodel work Interior and exterior renovation with demolition of existing sun room and small addition under existing roof
2018,PARTIAL DEMO Addition remodel 2 story addition with new living room 2 bedrooms and one bathroom Interior remodel
2018,partial demo remodel of existing structure converting back into SDU from duplex 2 car garage must be maintained
2018,Partial demo remove carport and rebuild Remove front porch and rebuild Remove existing windows and doors at all ext wall and add new New laundry room and half bath New flooring on first floor New Hardie Board at exterior side of first floor New standing metal roof on first floor area Also see additional permit for rear remodel and addition2016089101
2018,Partial Demo Addition  Remodel Remove existing bedroom wall expand bedroom by 260sf remodel existing master bathroom addition to closet
2018,Partial demo 1story addition to existing 3 bedroom 1 bathroom SFR New bathroom laundry and master suite to be added Remodel existing kitchen dining master bedroom and bathroom Detached garage to be demolition under separate total demolition permit Approval via COC
2018,Partial Demo to open new doorway in rear of exterior wall Full Interior Remodel of existing 1 story home to include all new plumbing window replacement  all windows converting existing Living Rm into a Dining Rm remove walls between kitchen  existing dining rm to enlarge kitchen convert existing dining rm into Butler's Pantry Convert portion of existing Laundry Rm into a Mud Rm and a Pantry Addition of a Master Bedrm Master Bathrm  Walkin Closet and addition of an Uncovered Wood Deck to rear of existing 1 story SF res  REVISION 1 submitted 3212018 Revise outside deck  location  No impacts to Tree Revised Eng Set3118 DD An Admin Hold on inspections has been placed on this site Development plans do not accurately reflect all of the Protected sized trees on this siteA residential plan revision is required prior to releasing Hold  31018 DD  Site is now compliant with the Tree Ordinance  Correction measures have been completed  Admin Hold has been released
2018,Partial demo Addition to existing SFR to include garage master suite and covered porch Interior remodel of 1st floor and basement
2018,Partial Demo 140 sq ft wall and 700 sq ft roof Remodel Existing Bathroom Addition of a 200 sq ft Master Bedroom in rear E corner of house New Fire Place  Living Rm and 264 sq ft Screenedin Patio in rear of existing 1 story SF res
2018,Partial Demo of exterior wall to covered carport a 3 interior wall Remodel to remove interior wall between kitchengarage and kitchenliving room to open up for more space Addition to convert existing garage into Living Room area to enlarge existing Living Room of existing 1 story SF res
2018,Partial Demo of front carport siding front wall adjacent to the carport and rear partial wall Remodel to remove interior walls closets between Bedrm 3 and Bathrm to create a Hallway remove Dining Rm to enlarge Kitchen and create a Pantry build an island in kitchen convert existing Living Rm   Storage into a Dining Rm convert 3rd rm into an Office Addition to add a foyer in front of res addition to convert existing attached Carport into a Living Rm 29659 sq ft addition of a Master Bedrm Master Bathrm  Walkin Closet in rear
2018,partial demoAddition of 463 SF and second story and remodel of existing primary residence new uncovered deck 3 bed2 bath
2018,Partial Demo of a 1976 SFR Interior Remodel includes master bath upgrade wall and ceiling reconfigurations windows and doors replacements for an overall improvements at kitchen breakfast lounge great room and dining room  Upgrades include electrical plumbing and mechanical work
2018,Partial demo Interior remodel Adding French doors to kitchen
2018,Adding new Master bedroom over existing garage and bathroomPARTIAL DEMO
2018,Partial demo Addition to rear of existing SFR to include playroom
2018,Partial Demo of back east facing exterior wall Addition of a Study Master Bathroom  Master Bedroom in rear of existing 1 story SF res
2018,Partial Demo 1story addition to existing 2 bed 1 bath 1story SFR Upon completion 3 bed 2 bath New entry porch and walkway Convert existing garage to conditioned living space Interior remodel work to renovate existing kitchen and existing dining room
2018,Partial Demo to remove window install French door Addition of a two story Sunroom whalf bath on 1st FL sunroom area in rear of existing 2 story SF PUD residence
2018,Partial Demo to remove window opening  kitchen needs to be enlarged rear exterior door opening enlarged north face of bldg wall to be removed for new windows north wall of dining rm  west wall of enclosed garage area will be removed roofing  north corner to be removed Remodel  front Covered Porch install new windows replace roof rafters south bedrm being reconfigured into a closet plumbing along wall between kitchen  bathroom will be capped gas line installed  kitchen island cap off plumbing lines in enclosed garage area Addition of a new Hallway Master Closet Laundry Rm  Master Bathroom to existing 1 story SF res
2018,Partial Demo of Northeast corner to allow for first floor addition Remodel to install new floor trim and doors remodel kitchen Addition of a Laundry Rm Powder Rm Hallway Master Closet Master Bathrm  Master Bedrm
2018,PARTIAL DEMO Addition  Remodel Addition to master closet interior remodel chimney repair
2018,partial Demo addition of full bathroom to home and addition of bathroom and living space to detached garage
2018,Partial Demo covered back porch addition Gas grill and fireplace addition to rear patio
2018,Partial demo Interior remodel Reconfiguring interior walls with some structural work to create open floor plan and convert window into French doors Upgrades include electrical work
2018,Partial demo Interior remodel adding several windows
2018,Partial Demo 1story 411 sf addition to existing 1story SFR 190 sf  covered patio addition at rear of SFR
2018,Partial Demo of South wall to be removed Remodel to include enlarging 2 existing bedrooms removing partition wall in living room installing skylights remodeling existing bathroom  kitchen layout Addition of a new Master Bedroom Master Bathroom  Walkin Closet
2018,Partial demo Addition remodel to existing 2story SFR in MM
2018,Partial demo 1story 404sqft addition at rear of existing 1story SFR Alterations to existing detached carport Remodel existing kitchen existing bathroom and existing bedroom 1118sqft Expand existing private walkway New siding and windows at East wall of SFR remove existing covered entry porch at North wall
2018,Partial Demo to remove window in kitchen roof tiein Addition to North  N West side to create a Hallway Master Bathroom Walkin Closet and Master Bedroom to existing 1 story SF res
2018,Partial demo interior remodel in MM
2018,Partial Demo Addition to existing single family residential to include first floor addition to rear to create 1 bedroom 1 bath New wood deck Interior remodel to create two new bedrooms and half bath
2018,Partial Demo 1story 1051 sf addition to existing 1story SFR Adding new master bedroom with closet master bath and new laundry New construction of 480 sf pool house with trellis bathroom and grill Interior remodel reframe front door for replacement replace garage door with new replace existing windows and doors with new existing siding to be replaced reconfigure interior walls
2018,Partial Demo 1story 793 sqft addition to rear of and side of existing 1story SFR 3 bedrooms 3 bathrooms upon completion New 399 covered rear patio Convert portion of existing attached garage to half bathroom and laundry room Interior remodel 1307 sqft relocate existing kitchen to new rear addition new lighting new windows new siding relocate walls
2018,partial demo 2nd floor addition and remodel of first floor
2018,Partial demo  Interior remodel  wall changes
2018,PARTIAL DEMO Interior remodel and new deck in place of current deck
2018,Partial Demo Raising roof over attached garage by 5ft on existing 2story SFR Remodeling conditioned space above garage renovations to kitchen bathrooms and bedrooms
2018,Partial Demo to remove portion of exterior West facing Wall  South Facing wall half of West facing slope of roof to be removed portion of remaining West facing Roof overhang to be removed Interior Remodel of Hallway  Bedrm 3 remove hallway closets and return area to Bedrm 1 remove walldoor to Bedrm 3 and extend Hallway to new addition Remaining Bedrooms become walkin closets laundry rm washing machine supply plumbing will be upgraded including underground grinder pump new exterior siding Addition of a 375 sq ft to include a Bedroom and Full Bathroom a 63 sq ft addition to expand kitchendining area new attached 360 sq ft rear Covered Patio addition to existing 1 story SF res
2018,Partial demo Interior remodel  Add new window in bathroom and skylight  Electrical and plumbing upgrades  No square footage added
2018,Partial demoInterior Remodel  Create laundryutility room inside garage  Change out window with door  Removal of interior walls  Engineered framing plan provided
2018,Partial Demo 1story 815 sf addition to rear of existing SFR Addition to include new master bedroom with full bathroom New carport over existing driveway Remodel kitchen remodel utility roommove existing bathroom remodel existing living roomclosets relocate bedroom to new addition
2018,PARTIAL DEMO Addition remodel in MM New kitchen and 3 bathrooms New windows doors terrace steps retaining walls and flatwork
2018,Partial demo Addition and remodel of existing 2story single family residence Extensive interior remodel new master wing game room bedroom front porch back patio windows doors sheetrock and fixtures
2018,Partial Demo with new two story addition and remodel of existing res all work will be within existing footprint and slab
2018,Partial Demo New two story SDU demo of existing site work and garageExpired permit for driveway from previous owner part of plan review
2018,partial demo addition and remodel
