PermitType,PermitTypeDesc,PermitNum,PermitClass,WorkClass,Condominium,ProjectName,Description,TCAD_ID,PropertyLegalDescription,AppliedDate,IssuedDate,DayIssued,CalendarYearIssued,FiscalYearIssued,IssuedInLast30Days,IssuanceMethod,StatusCurrent,ExpiresDate,CompletedDate,TotalExistingBldgSQFT,RemodelRepairSQFT,TotalNewAddSQFT,TotalValuationRemodel,TotalJobValuation,NumberOfFloors,HousingUnits,BuildingValuation,BuildingValuationRemodel,ElectricalValuation,ElectricalValuationRemodel,MechanicalValuation,MechanicalValuationRemodel,PlumbingValuation,PlumbingValuationRemodel,MedGasValuation,MedGasValuationRemodel,OriginalAddress1,OriginalCity,OriginalState,OriginalZip,CouncilDistrict,Jurisdiction,Link,ProjectID,Latitude,Longitude,Location
BP,Building Permit,2011-105330 BP,R- 645 Demolition One Family Homes,Demolition,No,4616 LAKE VW,Demolish a circa 1948 2 story 3322 square foot single family residence,0130050112,LOT 9   NE TRI OF LOT 8 BLK S HIGHLAND PARK WEST,2011/11/14,2011/11/22,TUESDAY,2011,2012,No,Permit Center,Expired,2012/06/17,,3322,,,,$0.00,2,1,,,,,,,,,,,4616 LAKE VW,AUSTIN,TX,78731,10,AUSTIN FULL PURPOSE,https://www.austintexas.gov/devreview/b_showpublicpermitfolderdetails.jsp?FolderRSN=10684039,10684039,30.33248863,-97.76728841,"(30.33248863, -97.76728841)"
BP,Building Permit,2011-107269 BP,R- 649 Demolition All Other Bldgs Res,Demolition,No,2406 SCHULLE AVE,Demolish  fill in existing inground swimming pool,0119080317,LOT 2 WYNNLEWIS SUBD THE,2011/11/29,2011/11/29,TUESDAY,2011,2012,No,Permit Center,Final,2011/12/09,2011/12/09,500,,,,$0.00,0,0,,,,,,,,,,,2406 SCHULLE AVE,AUSTIN,TX,78703,10,AUSTIN FULL PURPOSE,https://www.austintexas.gov/devreview/b_showpublicpermitfolderdetails.jsp?FolderRSN=10686237,10686237,30.30112689,-97.77528238,"(30.30112689, -97.77528238)"
BP,Building Permit,2011-107682 BP,R- 649 Demolition All Other Bldgs Res,Demolition,No,4708 BULL CREEK RD,Repermitting for expired permit number 2009111973BP Demolish a detached garage and carport,0128001314,LOT 3A WIDEMAN SUBD RESUB OF LOT 3,2011/11/30,2011/11/30,WEDNESDAY,2011,2012,No,Permit Center,VOID,2012/05/28,,0,,,,$0.00,1,0,,,,,,,,,,,4708 BULL CREEK RD,AUSTIN,TX,78731,10,AUSTIN FULL PURPOSE,https://www.austintexas.gov/devreview/b_showpublicpermitfolderdetails.jsp?FolderRSN=10686706,10686706,30.32382846,-97.75183822,"(30.32382846, -97.75183822)"
BP,Building Permit,2011-109454 BP,R- 645 Demolition One Family Homes,Demolition,No,4400 BUNNY RUN,Repermitting for expired permit number 2011039525BP Demolish a circa 1980 1 story 1464 square foot single family residence,0135150502,LOT B AKRES BONITOS,2011/12/06,2011/12/06,TUESDAY,2011,2012,No,Permit Center,Final,2012/01/12,2012/01/12,1464,,,,$0.00,1,1,,,,,,,,,,,4400 BUNNY RUN,AUSTIN,TX,78746,10,AUSTIN FULL PURPOSE,https://www.austintexas.gov/devreview/b_showpublicpermitfolderdetails.jsp?FolderRSN=10689941,10689941,30.34495537,-97.80743484,"(30.34495537, -97.80743484)"
BP,Building Permit,2011-112469 BP,R- 649 Demolition All Other Bldgs Res,Demolition,No,2100 ELTON LN,Demolish a circa 1939 1 story 400 square foot detached garage,0115040706,LOT 34 TARRY TOWN PLACE,2011/11/08,2011/12/16,FRIDAY,2011,2012,No,Permit Center,Final,2012/01/20,2012/01/20,400,,,,$800.00,1,0,,,,,,,,,,,2100 ELTON LN,AUSTIN,TX,78703,10,AUSTIN FULL PURPOSE,https://www.austintexas.gov/devreview/b_showpublicpermitfolderdetails.jsp?FolderRSN=10693450,10693450,30.29396144,-97.76657274,"(30.29396144, -97.76657274)"
BP,Building Permit,2012-008606 BP,R- 645 Demolition One Family Homes,Demolition,No,1306 WALNUT AVE,Demolish a residence moved onto property in 1937  1 story 1242 square foot single family residence,0210111809,LOT 3 BLK 17 OLT 3233 DIV B GLENWOOD ADDN,2012/01/09,2012/01/27,FRIDAY,2012,2012,No,Permit Center,Final,2012/02/14,2012/02/14,1242,,,,$0.00,1,1,,,,,,,,,,,1306 WALNUT AVE,AUSTIN,TX,78702,1,AUSTIN FULL PURPOSE,https://www.austintexas.gov/devreview/b_showpublicpermitfolderdetails.jsp?FolderRSN=10711387,10711387,30.27649885,-97.71259072,"(30.27649885, -97.71259072)"
BP,Building Permit,2008-006440 BP,R- 646 Demolition Two Family Bldgs,Demolition,No,5309 GUADALUPE ST,Demolish a ca 1962 Duplex including foundation No historic review req'd,0225091701,,2008/01/10,2008/02/01,FRIDAY,2008,2008,No,Permit Center,VOID,2008/07/30,,0,,,,$5000.00,1,2,,,,,,,,,,,5309 GUADALUPE ST,AUSTIN,TX,78751,9,AUSTIN FULL PURPOSE,https://www.austintexas.gov/devreview/b_showpublicpermitfolderdetails.jsp?FolderRSN=10110430,10110430,30.32060782,-97.72628657,"(30.32060782, -97.72628657)"
BP,Building Permit,2009-089258 BP,C- 649 Demolition All Other Bldgs Com,Demolition,No,11400 BURNET RD,a partial demolition of building 1 per Site Plan,0252060103,,2009/02/12,2009/08/24,MONDAY,2009,2009,No,Permit Center,Expired,2011/04/19,,210000,,,,$210000.00,1,1,,,,,,,,,,,11400 BURNET RD,AUSTIN,TX,78758,7,AUSTIN FULL PURPOSE,https://www.austintexas.gov/devreview/b_showpublicpermitfolderdetails.jsp?FolderRSN=10325079,10325079,30.39397186,-97.72416959,"(30.39397186, -97.72416959)"
BP,Building Permit,2012-050491 BP,C- 649 Demolition All Other Bldgs Com,Demolition,No,1510 TOWN CREEK DR,Total demolition SLAB TO REMAIN of a 650 sqft 1story stucco restaurant,0304070306,LOT 4 BLK D SOUTH SHORE RETAIL AMENDING SUBD PLAT OF,2012/05/21,2012/05/22,TUESDAY,2012,2012,No,Permit Center,Expired,2012/11/18,,650,,,,$5000.00,1,0,,,,,,,,,,,1510 TOWN CREEK DR,AUSTIN,TX,78741,3,AUSTIN FULL PURPOSE,https://www.austintexas.gov/devreview/b_showpublicpermitfolderdetails.jsp?FolderRSN=10770031,10770031,30.24163845,-97.72770578,"(30.24163845, -97.72770578)"
BP,Building Permit,2012-050502 BP,C- 649 Demolition All Other Bldgs Com,Demolition,No,1930 E RIVERSIDE DR,Total demolition slab to remain of a portion of a 36200 sq foot commercial structure This portion is a single story wood stucco brick and cinder block structure and is the unit on the southern end of the strip center,0304070307,LOT 2 BLK D SOUTH SHORE RETAIL AMENDING SUBD PLAT OF,2012/05/21,2012/05/22,TUESDAY,2012,2012,No,Permit Center,Expired,2012/11/18,,2400,,,,$25000.00,0,1,,,,,,,,,,,1930 E RIVERSIDE DR,AUSTIN,TX,78741,3,AUSTIN FULL PURPOSE,https://www.austintexas.gov/devreview/b_showpublicpermitfolderdetails.jsp?FolderRSN=10770042,10770042,30.24230311,-97.72739008,"(30.24230311, -97.72739008)"
BP,Building Permit,2012-051948 BP,R- 646 Demolition Two Family Bldgs,Demolition,No,700 W ANNIE ST,Demolish a circa 1968 1 story 1680 square foot duplex res,0401020815,LOT 3 BOULDIN ADDN AMENDED PLAT OF THE RESUB OF LOTS 13 BLK 5,2012/05/22,2012/05/25,FRIDAY,2012,2012,No,Permit Center,Final,2013/04/17,2013/04/17,1680,,,,$5000.00,1,2,,,,,,,,,,,700 W ANNIE ST,AUSTIN,TX,78704,9,AUSTIN FULL PURPOSE,https://www.austintexas.gov/devreview/b_showpublicpermitfolderdetails.jsp?FolderRSN=10771719,10771719,30.24814499,-97.75731451,"(30.24814499, -97.75731451)"
BP,Building Permit,2012-051968 BP,R- 645 Demolition One Family Homes,Demolition,No,2119 GLENDALE PL,Demolish a circa 1940 15 story 1812 square foot single family residence,0304021408,LOT 4 BLK 38 TRAVIS HEIGHTS,2012/04/20,2012/05/24,THURSDAY,2012,2012,No,Permit Center,Final,2012/06/19,2012/06/19,1812,,,,$0.00,2,1,,,,,,,,,,,2119 GLENDALE PL,AUSTIN,TX,78704,9,AUSTIN FULL PURPOSE,https://www.austintexas.gov/devreview/b_showpublicpermitfolderdetails.jsp?FolderRSN=10771745,10771745,30.2368477,-97.74318159,"(30.2368477, -97.74318159)"
BP,Building Permit,2012-075541 BP,R- 645 Demolition One Family Homes,Demolition,No,1704 W 29TH ST,Demolish residence converted from accessory building to residence in 1966,0118020815,LOT 24 BLK 1 BRYKERWOODS C,2012/07/06,2012/07/30,MONDAY,2012,2012,No,Permit Center,Final,2012/09/12,2012/09/12,830,,,,$5000.00,1,1,,,,,,,,,,,1704 W 29TH ST,AUSTIN,TX,78703,10,AUSTIN FULL PURPOSE,https://www.austintexas.gov/devreview/b_showpublicpermitfolderdetails.jsp?FolderRSN=10803883,10803883,30.30226267,-97.75550865,"(30.30226267, -97.75550865)"
BP,Building Permit,2012-083558 BP,R- 645 Demolition One Family Homes,Demolition,No,6501 GREENSBORO DR,Demolition permit for a single family residence that was demolished in late 2006 without a permit,0220270703,LOT 5 BLK F BLUFFS OF UNIVERSITY HILLS SEC 3,2012/08/17,2012/08/17,FRIDAY,2012,2012,No,Permit Center,Final,2012/10/17,2012/10/17,0,,,,$0.00,1,1,,,,,,,,,,,6501 GREENSBORO DR,AUSTIN,TX,78723,1,AUSTIN FULL PURPOSE,https://www.austintexas.gov/devreview/b_showpublicpermitfolderdetails.jsp?FolderRSN=10814856,10814856,30.30574236,-97.66600569,"(30.30574236, -97.66600569)"
BP,Building Permit,2012-085598 BP,R- 649 Demolition All Other Bldgs Res,Demolition,No,1912 E M FRANKLIN AVE,Demolish all other detached accessory structures,0213160209,LOT 23D CREST HAVEN ADDN RESUB OF LOT 23 BLK 1,2012/07/23,2012/08/23,THURSDAY,2012,2012,No,Permit Center,Final,2013/01/22,2013/01/22,0,,,,$0.00,1,1,,,,,,,,,,,1912 E M FRANKLIN AVE,AUSTIN,TX,78723,1,AUSTIN FULL PURPOSE,https://www.austintexas.gov/devreview/b_showpublicpermitfolderdetails.jsp?FolderRSN=10817197,10817197,30.28458846,-97.69680767,"(30.28458846, -97.69680767)"
BP,Building Permit,2012-088875 BP,R- 645 Demolition One Family Homes,Demolition,No,1500 OXFORD AVE,Demolish a circa 1945 1 story 1626 square foot single family residence,0102050404,LOT 6 BLK 4 BARTON HEIGHTS A,2012/08/03,2012/08/31,FRIDAY,2012,2012,No,Permit Center,Final,2013/02/12,2013/02/12,1626,,,,$0.00,1,1,,,,,,,,,,,1500 OXFORD AVE,AUSTIN,TX,78704,5,AUSTIN FULL PURPOSE,https://www.austintexas.gov/devreview/b_showpublicpermitfolderdetails.jsp?FolderRSN=10820986,10820986,30.25463834,-97.76813447,"(30.25463834, -97.76813447)"
BP,Building Permit,2012-092101 BP,R- 649 Demolition All Other Bldgs Res,Demolition,No,7305 KAPOK LN,Demolish a circa 1979 1 story 400 square foot detached storage shed,0164051454,LOT 1A BALCONES OAKS SEC 2 RESUB OF LOT 3 BLK D,2012/09/05,2012/09/13,THURSDAY,2012,2012,No,Permit Center,Final,2013/01/30,2013/01/30,400,,,,$8500.00,1,0,,,,,,,,,,,7305 KAPOK LN,AUSTIN,TX,78759,10,AUSTIN FULL PURPOSE,https://www.austintexas.gov/devreview/b_showpublicpermitfolderdetails.jsp?FolderRSN=10826245,10826245,30.42591205,-97.76811138,"(30.42591205, -97.76811138)"
BP,Building Permit,2012-097196 BP,R- 649 Demolition All Other Bldgs Res,Demolition,No,1108 OLIVE ST,Demolish a circa 1941 1 story 120 square foot detached garage only  SMART HOUSING,0208061103,S827FT AV OF E413FT AV LOT 41 OLT 55 DIVISION B LAND ONLY,2012/08/27,2012/10/01,MONDAY,2012,2013,No,Permit Center,Final,2012/10/10,2012/10/10,120,,,,$0.00,1,0,,,,,,,,,,,1108 OLIVE ST,AUSTIN,TX,78702,1,AUSTIN FULL PURPOSE,https://www.austintexas.gov/devreview/b_showpublicpermitfolderdetails.jsp?FolderRSN=10833794,10833794,30.27087745,-97.72757568,"(30.27087745, -97.72757568)"
BP,Building Permit,2012-108858 BP,R- 649 Demolition All Other Bldgs Res,Demolition,No,1512 FOREST TRL,Demolish a detached garage accessory structure,0114050966,LOT B1 WESTFIELD A BLK 9 RESUB LOT 24  PT LT 23 AMD PLAT LOTS BC,2012/09/07,2012/10/26,FRIDAY,2012,2013,No,Permit Center,Final,2013/03/19,2013/03/19,600,,,,$0.00,1,0,,,,,,,,,,,1512 FOREST TRL,AUSTIN,TX,78703,10,AUSTIN FULL PURPOSE,https://www.austintexas.gov/devreview/b_showpublicpermitfolderdetails.jsp?FolderRSN=10849375,10849375,30.28801676,-97.76568817,"(30.28801676, -97.76568817)"
BP,Building Permit,2012-108917 BP,R- 645 Demolition One Family Homes,Demolition,No,1164 CURVE ST,Demolish a single family residence moved onto the property in 2003  1 story 512 square foot SMART HOUSING ONLY WENT TO HLC NO ATTACHMENTS IN AMANDA ALSO NO RECORDS ON CCW,0208061220,LOT 13A JUNIPER AT OLIVE SUBD AMENDED PLAT OF LOTS 13  14 BLK A LAND ONLY LAND ONLY,2012/10/23,2012/11/27,TUESDAY,2012,2013,No,Permit Center,Withdrawn,2013/05/26,2013/06/14,512,,,,$0.00,1,1,,,,,,,,,,,1164 CURVE ST,AUSTIN,TX,78702,1,AUSTIN FULL PURPOSE,https://www.austintexas.gov/devreview/b_showpublicpermitfolderdetails.jsp?FolderRSN=10849437,10849437,30.27063448,-97.72996503,"(30.27063448, -97.72996503)"
BP,Building Permit,2012-115025 BP,R- 649 Demolition All Other Bldgs Res,Demolition,No,2212 INDIAN TRL,Demolish detached garage w attached carport,0116031014,LOT 22 TARRY TOWN NO 5,2012/11/14,2012/11/14,WEDNESDAY,2012,2013,No,Permit Center,Final,2013/01/30,2013/01/30,760,,,,$0.00,1,1,,,,,,,,,,,2212 INDIAN TRL,AUSTIN,TX,78703,10,AUSTIN FULL PURPOSE,https://www.austintexas.gov/devreview/b_showpublicpermitfolderdetails.jsp?FolderRSN=10857805,10857805,30.29531693,-97.7635321,"(30.29531693, -97.7635321)"
BP,Building Permit,2012-117852 BP,R- 645 Demolition One Family Homes,Demolition,No,1209 COMETA ST,Demolition permit for a residence that was demolished presumably without a permit,0210180505,LOT 5 BLK 4 OLT 21 DIV B CHERNOSKY NO 9,2012/11/26,2012/11/27,TUESDAY,2012,2013,No,Permit Center,Final,2012/11/30,2012/11/30,0,,,,$0.00,1,1,,,,,,,,,,,1209 COMETA ST,AUSTIN,TX,78721,1,AUSTIN FULL PURPOSE,https://www.austintexas.gov/devreview/b_showpublicpermitfolderdetails.jsp?FolderRSN=10862262,10862262,30.27930012,-97.68949564,"(30.27930012, -97.68949564)"
BP,Building Permit,2013-121446 BP,R- 645 Demolition One Family Homes,Demolition,No,1144 1/2 GUNTER ST,Total demo of home  Circa 1940,0207160242,LOT 3 SOUTH ACRE RESUB OF LOT A,2013/11/01,2013/11/27,WEDNESDAY,2013,2014,No,Permit Center,Final,2016/02/17,2016/02/17,588,,,,$5000.00,1,1,,,,,,,,,,,1144 1/2 GUNTER ST,AUSTIN,TX,78721,3,AUSTIN FULL PURPOSE,https://www.austintexas.gov/devreview/b_showpublicpermitfolderdetails.jsp?FolderRSN=11051455,11051455,30.27204093,-97.69585437,"(30.27204093, -97.69585437)"
BP,Building Permit,2012-122474 BP,R- 645 Demolition One Family Homes,Demolition,No,5409 SHOALWOOD AVE,Demolish a circa 1947 1 story 996 square foot single family residence,0229030615,LOT 12A BLK 3 SHOALMONT ADDN RESUB OF LOT 12 BLK 3,2012/11/27,2012/12/11,TUESDAY,2012,2013,No,Permit Center,Final,2013/04/25,2013/04/25,996,,,,$0.00,1,1,,,,,,,,,,,5409 SHOALWOOD AVE,AUSTIN,TX,78756,7,AUSTIN FULL PURPOSE,https://www.austintexas.gov/devreview/b_showpublicpermitfolderdetails.jsp?FolderRSN=10868846,10868846,30.32875859,-97.74250548,"(30.32875859, -97.74250548)"
BP,Building Permit,2012-122475 BP,R- 649 Demolition All Other Bldgs Res,Demolition,No,5409 SHOALWOOD AVE,Demolish all other structures inground swimming pool and detached garage accessory structure,0229030615,LOT 12A BLK 3 SHOALMONT ADDN RESUB OF LOT 12 BLK 3,2012/11/27,2012/12/11,TUESDAY,2012,2013,No,Permit Center,Final,2013/04/24,2013/04/24,400,,,,$0.00,1,0,,,,,,,,,,,5409 SHOALWOOD AVE,AUSTIN,TX,78756,7,AUSTIN FULL PURPOSE,https://www.austintexas.gov/devreview/b_showpublicpermitfolderdetails.jsp?FolderRSN=10868847,10868847,30.32875859,-97.74250548,"(30.32875859, -97.74250548)"
BP,Building Permit,2012-122477 BP,R- 649 Demolition All Other Bldgs Res,Demolition,No,1507 INGLEWOOD ST,Demolish garage apt circa 1947 2 story 633 square foot,0302060227,LOT 11 BLK 11 BELLVUE PARK  PT OF VAC ALLEY,2012/11/27,2012/12/26,WEDNESDAY,2012,2013,No,Permit Center,Final,2014/06/24,2015/03/25,633,,,,$1000.00,2,1,,,,,,,,,,,1507 INGLEWOOD ST,AUSTIN,TX,78741,9,AUSTIN FULL PURPOSE,https://www.austintexas.gov/devreview/b_showpublicpermitfolderdetails.jsp?FolderRSN=10868849,10868849,30.24527855,-97.73318919,"(30.24527855, -97.73318919)"
