PermitType,PermitTypeDesc,PermitNum,PermitClass,WorkClass,Condominium,ProjectName,Description,TCAD_ID,PropertyLegalDescription,AppliedDate,IssuedDate,DayIssued,CalendarYearIssued,FiscalYearIssued,IssuedInLast30Days,IssuanceMethod,StatusCurrent,ExpiresDate,CompletedDate,TotalExistingBldgSQFT,RemodelRepairSQFT,TotalNewAddSQFT,TotalValuationRemodel,TotalJobValuation,NumberOfFloors,HousingUnits,BuildingValuation,BuildingValuationRemodel,ElectricalValuation,ElectricalValuationRemodel,MechanicalValuation,MechanicalValuationRemodel,PlumbingValuation,PlumbingValuationRemodel,MedGasValuation,MedGasValuationRemodel,OriginalAddress1,OriginalCity,OriginalState,OriginalZip,CouncilDistrict,Jurisdiction,Link,ProjectID,Latitude,Longitude,Location
BP,Building Permit,2014-071876 BP,R- 434 Addition & Alterations,Addition and Remodel,No,8707 CREST RIDGE CIR,Partial demo of exterior walls and covered porch  Additionremodel Convert game room to garage with garage doors demoreplace 2 windows adding 1 bath 1 bedrm new utilityrm kitchen remodel Repermit MP 2010040832,0168110410,,2014/06/25,2014/07/11,FRIDAY,2014,2014,No,Permit Center,Final,2014/11/10,2014/11/10,,,434,$1000.00,$40000.00,1,1,,$1000.00,,$0.00,,$0.00,,$0.00,,,8707 CREST RIDGE CIR,AUSTIN,TX,78750,6,AUSTIN FULL PURPOSE,https://www.austintexas.gov/devreview/b_showpublicpermitfolderdetails.jsp?FolderRSN=11179589,11179589,30.43571642,-97.78520273,"(30.43571642, -97.78520273)"
BP,Building Permit,2013-032315 BP,R- 434 Addition & Alterations,Addition and Remodel,No,2212 INDIAN TRL,Partial demo and additionremodel to sf res includes new entry porch dromer and bay window Replace existing windows repair siding where damaged and paint Extend kitchen and add utility room with storage under it Add uncovered wood deck at rear of housePart of this description of work reflects permit 1995016185 this permit is voided out,0116031014,LOT 22 TARRY TOWN NO 5,2013/03/04,2013/04/02,TUESDAY,2013,2013,No,Permit Center,Final,2013/07/03,2013/07/03,,,22,$7000.00,$12500.00,1,1,,$7000.00,,$0.00,,$0.00,,$0.00,,,2212 INDIAN TRL,AUSTIN,TX,78703,10,AUSTIN FULL PURPOSE,https://www.austintexas.gov/devreview/b_showpublicpermitfolderdetails.jsp?FolderRSN=10922094,10922094,30.29531693,-97.7635321,"(30.29531693, -97.7635321)"
BP,Building Permit,2013-066558 BP,R- 435 Renovations/Remodel,Repair,No,2847 SHOAL CREST AVE,Partial demo of portions of house repair of those walls and replacement of doors same size,0216010512,LOT 12 BLK 2 OLT 71 DIV D SHOAL CREST ADDN,2013/06/19,2013/06/28,FRIDAY,2013,2013,No,Permit Center,Final,2013/08/22,2013/08/22,,0,,$5000.00,$5000.00,1,1,,$5000.00,,$0.00,,$0.00,,$0.00,,,2847 SHOAL CREST AVE,AUSTIN,TX,78705,9,AUSTIN FULL PURPOSE,https://www.austintexas.gov/devreview/b_showpublicpermitfolderdetails.jsp?FolderRSN=10972084,10972084,30.29731343,-97.74765693,"(30.29731343, -97.74765693)"
BP,Building Permit,2011-103186 BP,R- 434 Addition & Alterations,Addition,No,8017 CARDIN DR,Partial demo of existing attached wood deck and exterior walls for a new Addition of new study walk in closet utility room with storage to existing sf residence,0243010414,,2011/10/13,2011/11/17,THURSDAY,2011,2012,No,Permit Center,Final,2012/03/05,2012/03/05,,,560,,$72000.00,2,1,,,,,,,,,,,8017 CARDIN DR,AUSTIN,TX,78759,10,AUSTIN FULL PURPOSE,https://www.austintexas.gov/devreview/b_showpublicpermitfolderdetails.jsp?FolderRSN=10679810,10679810,30.36824777,-97.75053505,"(30.36824777, -97.75053505)"
BP,Building Permit,2011-036742 BP,R- 434 Addition & Alterations,Addition,No,5509 WOODVIEW AVE,Partial demolition of rear and side walls and roof structure to accomodate new addition of 1 story family and laundry room,0230020225,,2011/04/22,2011/04/29,FRIDAY,2011,2011,No,Permit Center,Final,2011/11/15,2011/11/15,,,1187,,$55000.00,1,1,,,,,,,,,,,5509 WOODVIEW AVE,AUSTIN,TX,78756,7,AUSTIN FULL PURPOSE,https://www.austintexas.gov/devreview/b_showpublicpermitfolderdetails.jsp?FolderRSN=10583026,10583026,30.33077476,-97.74401126,"(30.33077476, -97.74401126)"
BP,Building Permit,2015-104942 BP,R- 434 Addition & Alterations,Addition and Remodel,No,3803 S GREEN TRAILS,Partial demolition Interior remodel includes kitchen dining and living area improvements with replacement and reconfiguration of windows Upgrade includes electrical and plumbing work,0141030920,,2015/08/21,2015/09/03,THURSDAY,2015,2015,No,Permit Center,Active,2016/07/11,,,,0,$98500.00,$89200.00,1,1,,$89200.00,,$7500.00,,$0.00,,$1800.00,,,3803 S GREEN TRAILS,AUSTIN,TX,78731,10,AUSTIN FULL PURPOSE,https://www.austintexas.gov/devreview/b_showpublicpermitfolderdetails.jsp?FolderRSN=11408518,11408518,30.36294541,-97.7546511,"(30.36294541, -97.7546511)"
BP,Building Permit,2013-103385 BP,R- 101 Single Family Houses,New,No,6408 HALL ST,Relocation of a 1story SF res onto this lot 6408 Hall St w a front covered porch uncovered stoop on NW side and uncovered stoop in rear rebuild electrical service add smoke alarms add dryer HVAC  tankless water heater outlets update kitchen  bathroom outlets to GFCI redo sewer water  gas lines  WD connections REVISION 1172014  Partial demo of left rear bedroom on south wall for new windows east wall near NE corner for window north wall for new door and relocate rear landing,0232040424,LOT 24B BELLAIRE RESUB OF LOT 24 BLK C,2013/08/28,2013/10/04,FRIDAY,2013,2014,No,Permit Center,Final,2014/09/11,2014/09/11,,,1479,,$48000.00,1,1,,,,,,,,,,,6408 HALL ST,AUSTIN,TX,78757,7,AUSTIN FULL PURPOSE,https://www.austintexas.gov/devreview/b_showpublicpermitfolderdetails.jsp?FolderRSN=11025995,11025995,30.33745648,-97.73441464,"(30.33745648, -97.73441464)"
BP,Building Permit,2013-104086 BP,R- 434 Addition & Alterations,Addition and Remodel,No,2212 INDIAN TRL,Partial demolition at left side of existing garage of sfres for new window opening Interior remodel to convert existing 2 bedroom into one bedroom with full bath and closet at upper level Addition to convert existing garage to new entertainment room with new full bath with storage area and new kitchenette at lower level Trades permits as required for new work only,0116031014,LOT 22 TARRY TOWN NO 5,2013/08/30,2013/10/03,THURSDAY,2013,2014,No,Permit Center,Final,2014/04/03,2014/04/03,,,710,$40000.00,$80000.00,1,1,,$33000.00,,$2000.00,,$5000.00,,$0.00,,,2212 INDIAN TRL,AUSTIN,TX,78703,10,AUSTIN FULL PURPOSE,https://www.austintexas.gov/devreview/b_showpublicpermitfolderdetails.jsp?FolderRSN=11027480,11027480,30.29531693,-97.7635321,"(30.29531693, -97.7635321)"
BP,Building Permit,2013-036349 BP,R- 435 Renovations/Remodel,Remodel,No,9539 BIG VIEW DR,Partial demo of east wall for different windows and interior remodel window replacement and deck reframerepair,0139340403,,2013/01/07,2013/04/12,FRIDAY,2013,2013,No,Permit Center,Final,2013/10/30,2013/10/30,,3570,,$62530.00,,2,1,,$59530.00,,$1500.00,,$1500.00,,$0.00,,,9539 BIG VIEW DR,AUSTIN,TX,78730,6,AUSTIN LTD,https://www.austintexas.gov/devreview/b_showpublicpermitfolderdetails.jsp?FolderRSN=10927685,10927685,30.36218063,-97.85622847,"(30.36218063, -97.85622847)"
BP,Building Permit,2013-118264 BP,R- 434 Addition & Alterations,Addition and Remodel,No,7502 ST PHILLIP ST,Partial demo of rear wall  garage door  Additionremodel to the rear to include extension of roof addition of new deck  rear Enclosure of portion of existing garage to create laundryroom addition to rear for new masterbedrm bathrm new den extension Remodel conversion of garage into a carport kitchen update new floors  paint throughout New elecrical fixtures and new pantry space Upgrade HVAC for new sq footage The new addition to the rear is within the required side yard setback 5 ft,0236060708,01560 AC OF LOT 1718 BLK C ST LOUIS HEIGHTS,2013/10/23,2013/11/14,THURSDAY,2013,2014,No,Permit Center,Final,2014/06/27,2014/06/27,,,801,$25000.00,$75000.00,1,1,,$17500.00,,$2000.00,,$2500.00,,$3000.00,,,7502 ST PHILLIP ST,AUSTIN,TX,78757,7,AUSTIN FULL PURPOSE,https://www.austintexas.gov/devreview/b_showpublicpermitfolderdetails.jsp?FolderRSN=11047830,11047830,30.34953177,-97.73149208,"(30.34953177, -97.73149208)"
BP,Building Permit,2014-001137 BP,R- 434 Addition & Alterations,Addition and Remodel,No,2603 HANCOCK DR,partial demo and addition of 121 sf to existing duplex,0227000204,LOT 15  W35FT AV OF LOT 14 BLK A SHOALMONT SEC 5,2013/12/04,2014/01/13,MONDAY,2014,2014,No,Permit Center,Final,2014/06/06,2014/06/06,,,121,$20000.00,$25000.00,1,1,,$10000.00,,$5000.00,,$5000.00,,$0.00,,,2603 HANCOCK DR,AUSTIN,TX,78731,7,AUSTIN FULL PURPOSE,https://www.austintexas.gov/devreview/b_showpublicpermitfolderdetails.jsp?FolderRSN=11072203,11072203,30.32641121,-97.74720686,"(30.32641121, -97.74720686)"
BP,Building Permit,2014-004963 BP,R- 434 Addition & Alterations,Addition,No,6606 HERGOTZ LN,Partial demo to remove exterior west wall Addition to an existing 2 story SFR consisting of Adding a studio and uncovered wood deck  steps at 1st flr and Master bath and master closet 2nd flr addition description revised  by JR on 011414,0302200110,ABS 24 DELVALLE S ACR 0170,2013/10/02,2014/02/11,TUESDAY,2014,2014,No,Permit Center,Expired,2016/01/03,,,,421,,$11500.00,2,1,,,,,,,,,,,6606 HERGOTZ LN,AUSTIN,TX,78742,3,AUSTIN FULL PURPOSE,https://www.austintexas.gov/devreview/b_showpublicpermitfolderdetails.jsp?FolderRSN=11077177,11077177,30.24535631,-97.68449484,"(30.24535631, -97.68449484)"
BP,Building Permit,2014-129705 BP,R- 434 Addition & Alterations,Addition,No,8101 RED BIRD CT,Partial demo of roof and shingles Addition of an attached 1st FL covered patio in rear of existing 2 story SF res,0164360143,,2014/10/06,2014/12/08,MONDAY,2014,2015,No,Permit Center,Final,2015/01/29,2015/01/29,,,208,,$15000.00,1,1,,,,,,,,,,,8101 RED BIRD CT,AUSTIN,TX,78726,6,AUSTIN FULL PURPOSE,https://www.austintexas.gov/devreview/b_showpublicpermitfolderdetails.jsp?FolderRSN=11260387,11260387,30.42414257,-97.86182742,"(30.42414257, -97.86182742)"
BP,Building Permit,2014-112819 BP,R- 434 Addition & Alterations,Addition and Remodel,No,1312 BRUTON SPRINGS RD,Partial demolition  Expansion to 1st floor of existing residenceAll work completed without inspection,0133400216,,2014/07/30,2014/10/21,TUESDAY,2014,2015,No,Permit Center,Active,2016/08/17,,,,353,$2100.00,$22000.00,2,1,,$2100.00,,$0.00,,$0.00,,$0.00,,,1312 BRUTON SPRINGS RD,AUSTIN,TX,78733,10,AUSTIN LTD,https://www.austintexas.gov/devreview/b_showpublicpermitfolderdetails.jsp?FolderRSN=11236168,11236168,30.3436602,-97.87753384,"(30.3436602, -97.87753384)"
BP,Building Permit,2011-108065 BP,R- 435 Renovations/Remodel,Remodel,No,5507 LEMONWOOD DR,partial demo  pentetrations in living room wall to add windows  add light fixture and move drain in bathroom new AC unit,0141120405,,2011/12/01,2011/12/01,THURSDAY,2011,2012,No,Permit Center,Final,2012/01/31,2012/01/31,,0,,$30395.00,,1,1,,$26395.00,,$500.00,,$3000.00,,$500.00,,,5507 LEMONWOOD DR,AUSTIN,TX,78731,10,AUSTIN FULL PURPOSE,https://www.austintexas.gov/devreview/b_showpublicpermitfolderdetails.jsp?FolderRSN=10687146,10687146,30.36070334,-97.7850342,"(30.36070334, -97.7850342)"
BP,Building Permit,2014-044819 BP,R- 434 Addition & Alterations,Addition and Remodel,No,502 E 41ST ST,Partial demolition of existing residence for new addition Addition on first floor to include new screened porch at the rear of residence Addition of new second floor to include new bedroom study area and bathroom  Interior remodel of first floor to accommodate new stair case for second floor addition and master bathroom and utility room  Trade permit as required for work above,0220080509,LOT 11 BLK 5 OLT 14 DIV C IDEAL PLACE,2014/03/05,2014/05/01,THURSDAY,2014,2014,No,Permit Center,Final,2015/03/23,2015/03/23,,,869,$13750.00,$27500.00,2,1,,$6000.00,,$3250.00,,$1500.00,,$3000.00,,,502 E 41ST ST,AUSTIN,TX,78751,9,AUSTIN FULL PURPOSE,https://www.austintexas.gov/devreview/b_showpublicpermitfolderdetails.jsp?FolderRSN=11139540,11139540,30.30228173,-97.72720953,"(30.30228173, -97.72720953)"
BP,Building Permit,2012-056943 BP,R- 434 Addition & Alterations,Addition,No,11806 WHITE WING AVE,partial demo front wall and back wall Addition enclose front entery way and build new great room widen driveway,0250230117,,2012/06/04,2012/06/26,TUESDAY,2012,2012,No,Permit Center,Active,2016/05/30,,,,3083,,$20000.00,1,1,,,,,,,,,,,11806 WHITE WING AVE,AUSTIN,TX,78753,7,AUSTIN FULL PURPOSE,https://www.austintexas.gov/devreview/b_showpublicpermitfolderdetails.jsp?FolderRSN=10778624,10778624,30.38512771,-97.67584903,"(30.38512771, -97.67584903)"
BP,Building Permit,2011-022226 BP,R- 434 Addition & Alterations,Addition and Remodel,No,7210 WATERLINE RD,Partial Demolition to Front and Rear of Home for additions   Demo of  Entire Roof to make way for 2nd Story  Addition and Remodel to entire Home  Please See Comments for Detailed Description of Work,0141050503,LOT 2 BLK J NORTHWEST HILLS MESA OAKS PHS 1,2011/03/09,2011/03/21,MONDAY,2011,2011,No,Permit Center,Final,2012/12/28,2012/12/28,,,2041,$60000.00,$325000.00,2,1,,$40000.00,,$10000.00,,$5000.00,,$5000.00,,,7210 WATERLINE RD,AUSTIN,TX,78731,10,AUSTIN FULL PURPOSE,https://www.austintexas.gov/devreview/b_showpublicpermitfolderdetails.jsp?FolderRSN=10562475,10562475,30.36330451,-97.76720753,"(30.36330451, -97.76720753)"
BP,Building Permit,2013-100110 BP,R- 434 Addition & Alterations,Addition and Remodel,No,202 W CADDO ST,Partial demo for additionremodel of adding more uncovered wooden deck and interior remodel of 3 bedrooms and a bathroom Took out window to put in french doors replaced 4,0250200517,LOT 2 BLK C EUBANK ACRES SEC 2,2013/07/08,2013/09/25,WEDNESDAY,2013,2013,No,Permit Center,Final,2013/09/26,2013/09/26,,,150,$750.00,$1750.00,1,1,,$750.00,,$0.00,,$0.00,,$0.00,,,202 W CADDO ST,AUSTIN,TX,78753,7,AUSTIN FULL PURPOSE,https://www.austintexas.gov/devreview/b_showpublicpermitfolderdetails.jsp?FolderRSN=11021633,11021633,30.38421776,-97.68012192,"(30.38421776, -97.68012192)"
BP,Building Permit,2011-097502 BP,R- 434 Addition & Alterations,Addition,No,5718 MERRYWING CIR,Partial demo of exterior rear walls to add a new outdoor kitchenliving area sunroom and decking Also adding a detached arbor near the existing pool area THESE ARE 2 SEPERATE STRUCTURES THAT SHOULD HAVE BEEN PERMITTED SEPERATELY Vic A,0147300140,,2011/10/26,2011/10/27,THURSDAY,2011,2012,No,Permit Center,Final,2012/06/15,2012/06/15,,,1509,,$50000.00,2,1,,,,,,,,,,,5718 MERRYWING CIR,AUSTIN,TX,78730,6,AUSTIN FULL PURPOSE,https://www.austintexas.gov/devreview/b_showpublicpermitfolderdetails.jsp?FolderRSN=10671591,10671591,30.3812742,-97.84874654,"(30.3812742, -97.84874654)"
BP,Building Permit,2014-074373 BP,R- 434 Addition & Alterations,Addition and Remodel,No,5611 WOODVIEW AVE,partial demoextending kitchen into backyard adding dining and living area adding covered porch and remodeling kitche,0230020233,,2014/06/23,2014/07/16,WEDNESDAY,2014,2014,No,Permit Center,Expired,2015/12/23,,,,914,$12100.00,$44000.00,1,1,,$6000.00,,$2000.00,,$100.00,,$4000.00,,,5611 WOODVIEW AVE,AUSTIN,TX,78756,7,AUSTIN FULL PURPOSE,https://www.austintexas.gov/devreview/b_showpublicpermitfolderdetails.jsp?FolderRSN=11182580,11182580,30.33268132,-97.7441757,"(30.33268132, -97.7441757)"
BP,Building Permit,2014-088291 BP,R- 101 Single Family Houses,New,No,1005 STOBAUGH ST,Partial demo of wall for window New 2nd bath and closet for bedrm 3 Do not move front door location keep in original location add window in bath1 replace and add window in bath 2 remove winodws in bath 2 and closet Move drive to other side move front door landing Relocate home on existing lot to comply with setbacks redo bathrm layout relocate sewer tap with new yard line reuse existing water meter with new yard line Relocate electrical service with new line,0235100734,LOT B1 COOPER WILLIAM S ADDN RESUB OF LOT B,2014/06/27,2014/08/21,THURSDAY,2014,2014,No,Permit Center,Final,2015/11/23,2015/11/23,,,1428,,$30000.00,1,1,,,,,,,,,,,1005 STOBAUGH ST,AUSTIN,TX,78757,7,AUSTIN FULL PURPOSE,https://www.austintexas.gov/devreview/b_showpublicpermitfolderdetails.jsp?FolderRSN=11202994,11202994,30.34736515,-97.71665568,"(30.34736515, -97.71665568)"
BP,Building Permit,2011-093801 BP,R- 435 Renovations/Remodel,Remodel,No,2407 LAWNMONT AVE,Partial demo to exterior sunroom walls to open up to crete and open covered patio replace siding add new doors and windows add spread footings around laundry room,0228020402,,2011/10/03,2011/10/17,MONDAY,2011,2012,No,Permit Center,Final,2012/01/03,2012/01/03,,0,,$500.00,,1,1,,$500.00,,$0.00,,$0.00,,$0.00,,,2407 LAWNMONT AVE,AUSTIN,TX,78756,7,AUSTIN FULL PURPOSE,https://www.austintexas.gov/devreview/b_showpublicpermitfolderdetails.jsp?FolderRSN=10665709,10665709,30.32775711,-97.74521143,"(30.32775711, -97.74521143)"
BP,Building Permit,2011-082652 BP,R- 434 Addition & Alterations,Addition and Remodel,No,7302 LAMPLIGHT LN,AdditionRemodelPartial Demolition to a Single Family Home Partial Demolition to 1st Floor removing front porch front and rear wall and entire roof structure  Addition of approx 170 sqft on 1st fl to accomodate new front wall and enrtyway  Addition of new 2nd floor approx 1524 sqft to accomodate new bedrooms2 and bathrooms2 loft and study areas and new Stair well Remodel to 1st floor consist of new configuration of living dining and kitchen areas new flooring cabinets countertops and fixtures thourghout Removing 2 fireplaces installing new 12 bath  Closing off and opening up several door ways in the two existing bedroom areas Creating New utility Room  Replacing Windows throughout,0140030515,,2011/09/09,2011/09/14,WEDNESDAY,2011,2011,No,Permit Center,Final,2012/05/10,2012/05/10,,,1694,$200000.00,$300000.00,2,1,,$150000.00,,$20000.00,,$15000.00,,$15000.00,,,7302 LAMPLIGHT LN,AUSTIN,TX,78731,10,AUSTIN FULL PURPOSE,https://www.austintexas.gov/devreview/b_showpublicpermitfolderdetails.jsp?FolderRSN=10650307,10650307,30.36022401,-97.75978881,"(30.36022401, -97.75978881)"
